id;history_description;history_date;type_id;last_modified_user_id;created_user_id
1;System Generated Stock Entity;2019-12-13T14:12:40;13;2;2
2;System Generated Stock Entity;2019-12-13T14:12:40;13;2;2
3;System Generated Stock Entity;2019-12-13T14:12:40;13;2;2
4;System Generated Stock Entity;2019-12-13T14:12:40;13;2;2
5;System Generated Stock Entity;2019-12-13T14:12:40;13;2;2
6;System Generated Stock Entity;2019-12-13T14:12:40;13;2;2
7;System Generated Stock Entity;2019-12-13T14:12:40;13;2;2
8;System Generated Stock Entity;2019-12-13T14:12:40;13;2;2
9;System Generated Stock Entity;2019-12-13T14:12:40;13;2;2
10;System Generated Stock Entity;2019-12-13T14:12:40;13;2;2
