id;customer_code;customer_name;customer_credit_limit;is_active;rating;location_id
1;CUST001;Test Customer 001;100000;true;0;1
2;CUST002;Test Customer 002;100000;true;0;1
3;CUST003;Test Customer 003;100000;true;0;1
4;CUST004;Test Customer 004;100000;true;0;1
5;CUST005;Test Customer 005;100000;true;0;2
6;CUST006;Test Customer 006;100000;true;0;2
7;CUST007;Test Customer 007;100000;true;0;3
8;CUST008;Test Customer 008;100000;true;0;3
9;CUST009;Test Customer 009;100000;true;0;3
10;CUST010;Test Customer 010;100000;true;0;3
